urun_ismi,img_url,ilac_sirketi,barkod,recete_tipi,etken_madde,dsf,kamu_odenen,fiyat_farki,psf
Sevyar Film Kaplı Tablet 800 mg 180 Tablet,https://cdn.farmazonrx.com.tr/Products/Images/bb02fe98-0f6d-4425-81cb-0da354351a28.jpg,Celtis,8697929092470,Beyaz Reçete,Sevelamer - 800 mg,"1992,08 TL",Ödenmez,-,"2328,68 TL"
Glutamin Plus Özel Tıbbi Amaçlı Diyet Gıda Nötral 30x22.4 gr Saşe - 80 kcal/1 Saşe,https://cdn.farmazonrx.com.tr/Products/Images/2f8bcf66-3eb1-4d9f-856f-2bb8d66e1cd3.jpg,Fresenius Kabi,8699630997792,Beyaz Reçete,"Vitamin C - 1100 mg/100 g
Vitamin E - 370 mg/100 g
Çinko - 15 mg/100 g","936,76 TL",Ödenmez,-,"1133,46 TL"
Reconvan Özel Tıbbi Amaçlı Diyet Gıda 500 ml Torba - 100 kcal/100 ml,,Fresenius Kabi,8699630997815,Beyaz Reçete,,"160,07 TL",Ödenmez,-,"204,90 TL"
Alutard SC Devam Dozu 1x5 ml Flakon,,Alk,8681078093044,Beyaz Reçete,,"2095,91 TL",Ödenmez,-,"2413,68 TL"
Alutard SC Başlangıç Dozu 4x5 ml Flakon,,Alk,8681078093037,Beyaz Reçete,,"2755,38 TL",Ödenmez,-,"3158,88 TL"
Supportan Özel Tıbbi Amaçlı Beslenme Ürünü 500 ml Torba - 150 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/bf062999-edbf-49b0-8739-55c817d39ae3.jpg,Fresenius Kabi,8699630997785,Beyaz Reçete,"Vitamin C - 18,8 mg/100 ml","145,38 TL",Ödenmez,-,"186,08 TL"
Ketomino Film Kaplı Tablet 100 Tablet,https://cdn.farmazonrx.com.tr/Products/Images/351bb58b-24f4-48f3-9dad-9b76644eff82.jpg,Dinçsa,8699819091471,Beyaz Reçete,,"887,73 TL","971,37 TL","87,66 TL","1470,87 TL"
Emaray İV Enjeksiyonluk Çözelti İçeren Flakon 469.01 mg/ml 1x20 ml Flakon,,Biem,8699702772036,Beyaz Reçete,"Gadopentetik asid - 469,01 mg/ml","567,60 TL",Ödenmez,-,"707,81 TL"
Emaray İV Enjeksiyonluk Çözelti İçeren Flakon 469.01 mg/ml 1x15 ml Flakon,,Biem,8699702772029,Beyaz Reçete,"Gadopentetik asid - 469,01 mg/ml","590,66 TL",Ödenmez,-,"735,94 TL"
Emaray İV Enjeksiyonluk Çözelti İçeren Flakon 469.01 mg/ml 1x10 ml Flakon,,Biem,8699702772012,Beyaz Reçete,"Gadopentetik asid - 469,01 mg/ml","459,39 TL",Ödenmez,-,"581,06 TL"
Pku Cooler 10 Kırmızı Özel Tıbbi Amaçlı Diyet Gıda 30x87 ml Torba - 65 kcal/87 ml,https://cdn.farmazonrx.com.tr/Products/Images/855b87da-bd18-44bd-ad0d-11a931b79d63.jpg,Nestle,8690632760810,Beyaz Reçete,,"4136,40 TL",Ödenmez,-,"4749,83 TL"
Resource Protein Özel Tıbbi Amaçlı Diyet Gıda Kahve Aromalı 200 ml Kutu - 125 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/b1c7deed-c83b-44d5-a422-b74c6d779e72.jpg,Nestle,8690632991160,Beyaz Reçete,Vitamin C - 16 mg/100 ml,"70,58 TL","90,34 TL",-,"101,50 TL"
Impact Oral Tropic Oral Toz 5x74 gr Poşet - 303 kcal/1 Saşe,,Nestle,8690632990163,Beyaz Reçete,Vitamin C - 88 mg/100 g,"949,81 TL",Ödenmez,-,"1150,91 TL"
Basic-Cad Özel Tıbbi Amaçlı Diyet Gıda 400 gr Kutu - 66 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/5915378a-a0b6-4a9c-b4ec-44339488c730.jpg,Numil,8699745000233,Beyaz Reçete,Vitamin C - 5 mg/100 ml,"589,44 TL","706,38 TL",-,"793,68 TL"
Aptamil Pregomin AS Özel Tıbbi Amaçlı Diyet Gıda 400 gr Konserve,https://cdn.farmazonrx.com.tr/Products/Images/bb161888-badb-41e5-99a2-17ce8f6e00e8.jpg,Numil,8699745000240,Beyaz Reçete,"Vitamin C - 7,1 mg/100 ml","1019,30 TL",Ödenmez,-,"1229,44 TL"
Loprofin Özel Tıbbi Amaçlı Diyet Gıda 500 gr Kutu - 355 kcal/100 gr,,Numil,8699711000496,Beyaz Reçete,,"324,13 TL",Ödenmez,-,"414,89 TL"
Fantomalt Özel Tıbbi Amaçlı Diyet Gıda 400 gr Kutu - 384 kcal/100 gr,https://cdn.farmazonrx.com.tr/Products/Images/619daf4a-fd15-4057-9b58-306a25321edb.jpg,Numil,8699745001445,Beyaz Reçete,"Karbonhidratlar - 96 g/100 g
Şeker - 6 g/100 g
Sodyum - 2 mg/100 g","111,21 TL","142,34 TL",-,"241,26 TL"
Protifar Yüksek Proteinli Beslenme Ürünü 225 gr Kutu - 368 kcal/100 gr,https://cdn.farmazonrx.com.tr/Products/Images/4032b906-bcdc-4e7c-b817-bcd996b0c58c.jpg,Numil,8699745001438,Beyaz Reçete,"Karbonhidratlar - 1,5 g/100 g
Protein - 87,2 g/100 g","237,14 TL","302,81 TL",-,"513,24 TL"
Novo-Helisen SC Depot Flakon 4x4.5 ml Flakon,,Allergo,8697791961119,Beyaz Reçete,Alerjen ekstreleri - 0 g,"5563,97 TL",Ödenmez,-,"6332,58 TL"
Contrathion Flakon %2 10x10 ml Flakon,,Keymen,8699839790019,Beyaz Reçete,Pralidoksim - 200 mg/10 ml,"1559,83 TL",Ödenmez,-,"0,00 TL"
Comida PKU C Kapsül 500 mg 500 Kapsül - 302 kcal/100 gr,,Mamma,8697869420180,Beyaz Reçete,,"3142,43 TL",Ödenmez,-,"3628,57 TL"
Comida OAC B Özel Tıbbi Amaçlı Besin 500 gr Kutu - 290 kcal/100 gr,https://cdn.farmazonrx.com.tr/Products/Images/0b8aac59-0500-4ea9-9c78-fb2a6e7651d4.jpg,Mamma,8697869420043,Beyaz Reçete,,"2910,33 TL","3357,77 TL",-,"3772,77 TL"
Comida PKU A Formula Özel Tıbbi Amaçlı Besin 400 gr Kutu,,Mamma,8697869420173,Beyaz Reçete,,"735,55 TL",Ödenmez,-,"905,99 TL"
Comida PKU A Özel Tıbbi Amaçlı Besin 500 gr Kutu - 269 kcal/100 gr,https://cdn.farmazonrx.com.tr/Products/Images/caefc4cc-b86a-4e9e-93bd-6d85d64b498b.jpg,Mamma,8697869420012,Beyaz Reçete,,"1977,05 TL",Ödenmez,-,"2311,70 TL"
Nutrison Advanced Diason Low Energy Özel Tıbbi Amaçlı Diyet Gıda 1000 ml Torba - 78 kcal/100 ml,,Numil,8699745001964,Beyaz Reçete,Vitamin C - 11 mg/100 ml,"245,37 TL",Ödenmez,-,"314,07 TL"
Cubitan Özel Tıbbi Amaçlı Diyet Gıda Vanilya Aromalı 200 ml Şişe - 125 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/5fe3bb40-148f-4cf5-8a29-37f333c77142.jpg,Numil,8699745002114,Beyaz Reçete,Vitamin C - 125 mg/100 ml,"45,49 TL","58,23 TL",-,"65,43 TL"
İsosource Standart Özel Tıbbi Amaçlı Diyet Gıda Vanilya Aromalı 500 ml Şişe - 100 kcal/100 ml,,Nestle,8690632990095,Beyaz Reçete,Vitamin C - 11 mg/100 ml,"124,82 TL",Ödenmez,-,"159,77 TL"
Jevity Tıbbi Amaçlı Beslenme Ürünü 500 ml Şişe - 107 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/047cfa5c-81b4-4fb9-a601-aab5a70e98ac.jpg,Abbott,8699548990892,Beyaz Reçete,Vitamin C - 10 mg/100 ml,"108,04 TL",Ödenmez,-,"138,30 TL"
Cubitan Özel Tıbbi Amaçlı Diyet Gıda Çilek Aromalı 200 ml Şişe - 125 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/079ef3b4-7650-4c37-8ee5-b142c61e9a1f.jpg,Numil,8699745002107,Beyaz Reçete,Vitamin C - 125 mg/100 ml,"45,49 TL","58,23 TL",-,"65,43 TL"
Cubitan Özel Tıbbi Amaçlı Diyet Gıda Çikolata Aromalı 200 ml Şişe - 128 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/54683a48-cefa-442f-be36-b31230d802a6.jpg,Numil,8699745002091,Beyaz Reçete,Vitamin C - 125 mg/100 ml,"45,49 TL","58,23 TL",-,"65,43 TL"
Novasource Diabetes Özel Tıbbi Amaçlı Diyet Gıda Multifruit 250 ml Şişe - 106 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/ef5c9f98-0d4d-4ec4-81e2-f177d1a11f3c.jpg,Nestle,8690632990026,Beyaz Reçete,Vitamin C - 11 mg/100 ml,"79,00 TL","101,12 TL",-,"113,62 TL"
İsosource Junior Özel Tıbbi Amaçlı Diyet Gıda Vanilya Aromalı 250 ml Şişe - 122 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/bf526fea-9401-4d2c-babe-8e327c32ed33.jpg,Nestle,8690632990415,Beyaz Reçete,"Vitamin C - 13,6 mg/100 ml","86,26 TL",Ödenmez,-,"110,42 TL"
Nutrison Protein Plus Özel Tıbbi Amaçlı Diyet Gıda 500 ml Şişe - 125 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/9e45061c-1f8e-4410-b889-edcdea95e0b2.jpg,Numil,8699711953501,Beyaz Reçete,"Vitamin C - 12,5 mg/100 ml","109,52 TL","140,18 TL",-,"237,60 TL"
Nutrison Energy Özel Tıbbi Amaçlı Diyet Gıda 500 ml Şişe - 150 kcal/100 ml,,Numil,8699711953167,Beyaz Reçete,Vitamin C - 15 mg/100 ml,"82,95 TL","106,18 TL",-,"153,88 TL"
İsosource Fiber Özel Tıbbi Amaçlı Diyet Gıda Multifruit 500 ml Şişe - 103 kcal/100 ml,,Nestle,8690632990088,Beyaz Reçete,"Çinko - 1 mg/100 ml
Demir - 1,1 mg/100 ml
Karbonhidratlar - 13,5 g/100 ml","138,06 TL",Ödenmez,-,"176,72 TL"
Fresubin Original Fibre Özel Tıbbi Amaçlı Diyet Gıda 500 ml Torba - 100 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/861ddac9-004d-424b-92c0-f00a14029899.jpg,Fresenius Kabi,8699630998256,Beyaz Reçete,"Vitamin C - 6,67 mg/100 ml","30,66 TL",Ödenmez,-,"39,25 TL"
İsosource Energy Özel Tıbbi Amaçlı Diyet Gıda Vanilya Aromalı 500 ml Şişe - 160 kcal/100 ml,,Nestle,8690632990392,Beyaz Reçete,"Çinko - 1,5 mg/100 ml
Demir - 1,6 mg/100 ml
Karbonhidratlar - 19,3 g/100 ml","144,39 TL",Ödenmez,-,"184,81 TL"
Xenetix 300 Enjeksiyonluk Solüsyon 300 mg İyot/ml 1x50 ml Flakon,,Guerbet,8699679774002,Beyaz Reçete,"İobitridol - 658,1 mg/ml","279,94 TL",Ödenmez,-,"358,33 TL"
Omnipaque İV/İA Enjeksiyon İçin Çözelti İçeren Flakon 350 mgI/ml 1x200 ml Flakon,https://cdn.farmazonrx.com.tr/Products/Images/1fc0cc54-9c37-46f4-bdf3-e9e06d32408b.jpg,Opakim,8699688771603,Beyaz Reçete,İyoheksol - 350 mgI/ml,"1589,62 TL","1852,16 TL",-,"2572,44 TL"
Omnipaque İV/İA Enjeksiyon İçin Çözelti İçeren Flakon 350 mgI/ml 1x100 ml Flakon,https://cdn.farmazonrx.com.tr/Products/Images/ffbf66f7-64d6-4dc4-92e6-dfe6dba44684.jpg,Opakim,8699688771559,Beyaz Reçete,İyoheksol - 350 mgI/ml,"872,66 TL","994,09 TL","47,91 TL","1447,22 TL"
Leucovorin - Teva İM/İV Enjeksiyonluk Çözelti İçeren Flakon 50 mg/5 ml 1x5 ml Flakon,https://cdn.farmazonrx.com.tr/Products/Images/37a48f5f-6745-4baf-a104-26a5c98b205c.jpg,Teva,8699638770250,Beyaz Reçete,Kalsiyum folinat - 50 mg/5 ml,"88,76 TL",Ödenmez,-,"113,62 TL"
Omnipaque İV/İA/İT Enjeksiyon İçin Çözelti İçeren Flakon 300 mgI/ml 1x100 ml Flakon,https://cdn.farmazonrx.com.tr/Products/Images/f2083f10-b790-4a57-8c13-271acf4c60d6.jpg,Opakim,8699688771450,Beyaz Reçete,İyoheksol - 300 mgI/ml,"776,08 TL","864,57 TL","68,30 TL","1295,65 TL"
Xenetix 350 Enjeksiyonluk Solüsyon 350 mg İyot/ml 1x50 ml Flakon,,Guerbet,8699679774200,Beyaz Reçete,"İobitridol - 767,8 mg/ml","321,92 TL",Ödenmez,-,"412,05 TL"
Supportan Drink Özel Tıbbi Amaçlı Diyet Gıda Tropikal Aromalı 200 ml Şişe - 150 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/c17d8682-30ea-4561-9dc7-270128d1ce0a.jpg,Fresenius Kabi,8699630998829,Beyaz Reçete,"Vitamin C - 18,8 mg/100 ml","55,97 TL",Ödenmez,-,"71,64 TL"
Ultravist Enjeksiyon/İnfüzyon İçin Çözelti 370 mg/ml 1x50 ml Flakon,,Bayer,8699546773886,Beyaz Reçete,İyopromid - 769 mg/ml,"284,68 TL",Ödenmez,-,"364,39 TL"
Urografin Enjeksiyon ve İnfüzyon İçin Çözelti %76 1x50 ml Flakon,https://cdn.farmazonrx.com.tr/Products/Images/c3d7b43c-3b5b-41c3-83ec-418eff003e60.jpg,Bayer,8699546778881,Beyaz Reçete,"Diatrizoik asit - 100 mg/ml
Meglumin diatrizoat - 660 mg/ml","113,17 TL","144,86 TL",-,"201,19 TL"
Optiray Enjeksiyonluk Çözelti İçeren Kullanıma Hazır Enjektör 741 mg/ml - 350 mgI/ml 1x100 ml Kullanıma Hazır Şırınga,,Guerbet,8699679957061,Beyaz Reçete,İyoversol - 741 mg/ml,"910,38 TL",Ödenmez,-,"1106,36 TL"
Optiray Enjeksiyonluk Çözelti İçeren Cam Şişe 741 mg/ml - 350 mgI/ml 200 ml Şişe,,Guerbet,8699679777164,Beyaz Reçete,İyoversol - 741 mg/ml,"837,42 TL","992,09 TL",-,"1681,50 TL"
Optiray Enjeksiyonluk Çözeltisi İçeren Kullanıma Hazır Enjektör 636 mg/ml (300 mgI/ml) 1x100 ml Kullanıma Hazır Şırınga,,Guerbet,8699679957023,Beyaz Reçete,İyoversol - 636 mg/ml,"672,27 TL",Ödenmez,-,"832,24 TL"
Optiray Enjeksiyonluk Çözeltisi İçeren Cam Şişe 636 mg/ml (300 mgI/ml) 50 ml Şişe,,Guerbet,8699679777096,Beyaz Reçete,İyoversol - 636 mg/ml,"213,78 TL","273,64 TL",-,"463,79 TL"
Renadin 800 mg 180 Film Tablet,https://cdn.farmazonrx.com.tr/Products/Images/93fb20ed-6378-481c-a54b-3d009fec5e11.jpg,Dinçsa,8683295540165,Beyaz Reçete,Sevelamer - 800 mg,"2095,84 TL","1937,38 TL","486,81 TL","3366,93 TL"
Ketonephro 100 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/4544f83d-663b-45c3-aa41-4dc7e2dc3479.jpg,Premium Pharma,8683295540097,Beyaz Reçete,,"2141,76 TL",Ödenmez,-,"2497,81 TL"
Proflat 50 mg/5 ml IV Enjeksiyonluk Çözelti 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/f58a9701-b1c9-4741-9ef8-31b3608987e4.jpg,Pharmada,8681697750229,Beyaz Reçete,Protamin - 50 mg/5 ml,"88,76 TL","113,62 TL",-,"113,62 TL"
Clustoid 10.000 TU/ml Enjeksiyonluk Süspansiyon 1 Flakon (Canis),,Roxall,8683190185454,Kısıtlanmış Beyaz Reçete,,"17173,55 TL",Ödenmez,-,"19483,74 TL"
Clustoid 10.000 TU/ml Enjeksiyonluk Süspansiyon 1 Flakon (Cupressus),,Roxall,8683190185461,Kısıtlanmış Beyaz Reçete,,"9424,32 TL","10695,29 TL",-,"18127,61 TL"
Roxsit 1.000 TSU/ml Enjeksiyonluk Süspansiyon 1 Adet (Çimenler),,Roxall,8683190185492,Kısıtlanmış Beyaz Reçete,,"15973,43 TL",Ödenmez,-,"18127,61 TL"
"Sulgen 30.000 TU/ml Dilaltı Sprey, Çözelti 2 Adet (Akarlar)",,Roxall,8683190185430,Kısıtlanmış Beyaz Reçete,,"17413,92 TL",Ödenmez,-,"19755,37 TL"
"Sulgen 30.000 TU/ml Dilaltı Sprey, Çözelti 2 Adet (Alternaria)",,Roxall,8683190185348,Kısıtlanmış Beyaz Reçete,,"17413,92 TL",Ödenmez,-,"19755,37 TL"
"Sulgen 30.000 TU/ml Dilaltı Sprey, Çözelti 2 Adet (Çimenler)",,Roxall,8683190185447,Kısıtlanmış Beyaz Reçete,,"17413,92 TL",Ödenmez,-,"19755,37 TL"
Allergovit 006 A+B Başlangıç Enjeksiyonluk Süspansiyon 3 ml 2 Flakon,,Allergo,8697791000832,Kısıtlanmış Beyaz Reçete,,"6332,97 TL","7202,06 TL",-,"12206,88 TL"
Allergovit 006 B İdame Enjeksiyonluk Süspansiyon 3 ml 1 Flakon,,Allergo,8697791000849,Kısıtlanmış Beyaz Reçete,,"5782,55 TL","6580,09 TL",-,"11152,69 TL"
Sugacent 200 mg/2 ml IV Enjeksiyonluk Çözelti 10 Flakon,https://cdn.farmazonrx.com.tr/Products/Images/af3e91b1-f9d3-41ff-95d2-954b3cc7e800.jpg,Centurion,8681735980656,Beyaz Reçete,Sugammadeks - 200 mg/2 ml,"8649,57 TL","8649,57 TL",-,"0,00 TL"
"Novo-Helisen Depot SC Başlangıç Enjeksiyonluk Süspansiyon, Ev Tozu Akarı 4,5 ml 3 Flakon",,Allergo,8697791000856,Kısıtlanmış Beyaz Reçete,,"6449,30 TL","7333,51 TL",-,"12429,68 TL"
"Novo-Helisen Depot SC Idame Enjeksiyonluk Süspansiyon, Ev Tozu Akarı 4,5 ml 1 Flakon",,Allergo,8697791000863,Kısıtlanmış Beyaz Reçete,,"5174,12 TL","5892,55 TL",-,"9987,38 TL"
Jadirox 90 mg 30 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/c777e080-f5f1-49d6-9654-456447993409.jpg,Biofarma,8699578090272,Kısıtlanmış Beyaz Reçete,Deferasiroks - 90 mg,"1081,37 TL","1277,84 TL",-,"1774,78 TL"
Jadirox 360 mg 30 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/654dcb9f-072c-4436-a1b7-9d3c2b0220ed.jpg,Biofarma,8699578090296,Kısıtlanmış Beyaz Reçete,Deferasiroks - 360 mg,"3176,53 TL","3645,37 TL",-,"5063,02 TL"
Jadirox 180 mg 30 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/e5822bf8-cff2-4e49-9217-f67c2dc998f4.jpg,Biofarma,8699578090289,Kısıtlanmış Beyaz Reçete,Deferasiroks - 180 mg,"2141,78 TL","2476,10 TL",-,"3439,03 TL"
"Retrast 7,5 mmol/7,5 ml Enjeksiyonluk Çözelti",https://cdn.farmazonrx.com.tr/Products/Images/2579aa62-b85b-48bd-ab41-b15c1a766287.jpg,Monemfarma,8681793774105,Beyaz Reçete,"Gadobutrol - 604,72 mg/ml","603,12 TL","737,42 TL",-,"1024,20 TL"
Resource 2.0 Vanilya Aromalı 200 ml,https://cdn.farmazonrx.com.tr/Products/Images/55dfedef-406d-4ac3-bea9-f38f091ce0cd.jpeg,Nestle,8690632709499,Beyaz Reçete,"Çinko - 1,7 mg/100 ml
Demir - 1,5 mg/100 ml
Karbonhidratlar - 21,4 g/100 ml","69,33 TL","75,30 TL","13,45 TL","128,63 TL"
Resource 2.0 Kayısı Aromalı 200 ml,https://cdn.farmazonrx.com.tr/Products/Images/55dfedef-406d-4ac3-bea9-f38f091ce0cd.jpeg,Nestle,8690632709482,Beyaz Reçete,"Çinko - 1,7 mg/100 ml
Demir - 1,5 mg/100 ml
Karbonhidratlar - 21,4 g/100 ml","53,47 TL","68,45 TL",-,"76,91 TL"
PKU Cooler 15 Kırmızı 130 ml 30 Adet,https://cdn.farmazonrx.com.tr/Products/Images/855b87da-bd18-44bd-ad0d-11a931b79d63.jpg,Nestle,8690632760858,Beyaz Reçete,,"6412,22 TL","7314,91 TL",-,"8219,00 TL"
Raneseva 800 mg 180 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/39119502-eef9-41c9-b586-26433c76ccee.jpg,Helba,8680008040325,Beyaz Reçete,Sevelamer - 800 mg,"1509,16 TL","1761,25 TL",-,"2446,18 TL"
Clustoid 10.000 TU/ml Enjeksiyonluk Süspansiyon (Ağaçlar),,Roxall,8683190185225,Beyaz Reçete,,"9424,32 TL","10695,29 TL",-,"18127,61 TL"
Clustoid 10.000 TU/ml Enjeksiyonluk Süspansiyon (Akarlar),,Roxall,8683190185232,Kısıtlanmış Beyaz Reçete,,"9424,32 TL","10695,29 TL",-,"18127,61 TL"
Clustoid 10.000 TU/ml Enjeksiyonluk Süspansiyon (Çimenler),,Roxall,8683190185249,Beyaz Reçete,,"9424,32 TL","10695,29 TL",-,"18127,61 TL"
Cafoline 300 mg/30 ml IM/IV Enjeksiyonluk Çözelti 1 Flakon,https://cdn.farmazonrx.com.tr/Products/Images/9d4dc0ea-f08e-4d62-9a5c-598e6f3e088b.jpg,Haver Trakya,8680222770039,Beyaz Reçete,Kalsiyum folinat - 300 mg/30 ml,"134,41 TL","167,57 TL",-,"728,55 TL"
Cafoline 50 mg/5 ml IM/IV Enjeksiyonluk Çözelti 1 Flakon,https://cdn.farmazonrx.com.tr/Products/Images/37a48f5f-6745-4baf-a104-26a5c98b205c.jpg,Haver Trakya,8680222770022,Beyaz Reçete,Kalsiyum folinat - 50 mg/5 ml,"57,34 TL","73,40 TL",-,"166,82 TL"
Clustoid 10.000 TU/ml Enjeksiyonluk Süspansiyon (Betula),,Roxall,8683190185157,Kısıtlanmış Beyaz Reçete,,"9424,32 TL","10695,29 TL",-,"18127,61 TL"
Clustoid 10.000 TU/ml Enjeksiyonluk Süspansiyon (D.Pteron),,Roxall,8683190185164,Kısıtlanmış Beyaz Reçete,,"15973,43 TL",Ödenmez,-,"18127,61 TL"
Clustoid 10.000 TU/ml Enjeksiyonluk Süspansiyon (Felis),,Roxall,8683190185171,Kısıtlanmış Beyaz Reçete,,"9424,32 TL","10695,29 TL",-,"18127,61 TL"
Clustoid 10.000 TU/ml Enjeksiyonluk Süspansiyon (Olea),,Roxall,8683190185188,Kısıtlanmış Beyaz Reçete,,"9424,32 TL","10695,29 TL",-,"18127,61 TL"
Clustoid 10.000 TU/ml Enjeksiyonluk Süspansiyon (Parietaria),,Roxall,8683190185195,Kısıtlanmış Beyaz Reçete,,"9424,32 TL","10695,29 TL",-,"18127,61 TL"
Clustoid 10.000 TU/ml Enjeksiyonluk Süspansiyon (Phelum),,Roxall,8683190185201,Kısıtlanmış Beyaz Reçete,,"9424,32 TL","10695,29 TL",-,"18127,61 TL"
Hymnox 100 mcg/ml Enjeksiyonluk Çözelti İçin Toz Ve Çözücü (Devam),,Roxall,8683190185072,Beyaz Reçete,,"12692,54 TL","14388,38 TL",-,"24387,09 TL"
"Hymnox 100 mcg/ml Enjeksiyonluk Çözelti İçin Toz Ve Çözücü (Devam, Vespula)",,Roxall,8683190185102,Beyaz Reçete,,"12692,54 TL","14388,38 TL",-,"24387,09 TL"
Hymnox 25 mcg/ml+100 mcg/ml Enjeksiyonluk Çözelti İçin Toz Ve Çözücü (Başlangıç),,Roxall,8683190185034,Beyaz Reçete,,"11168,06 TL","12665,71 TL",-,"21467,31 TL"
"Hymnox 25 mcg/ml+100 mcg/ml Enjeksiyonluk Çözelti İçin Toz Ve Çözücü (Başlangıç, Vespula)",,Roxall,8683190185065,Beyaz Reçete,,"11168,06 TL","12665,71 TL",-,"21467,31 TL"
Hiero 500 mg 100 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/fd3e5070-a7a1-4d90-9311-b8fef17289a3.jpg,Farma-Tek,8699738090487,Beyaz Reçete,Deferipron - 500 mg,"6242,50 TL","7109,93 TL",-,"9874,90 TL"
Retrast 30 mmol/30 ml Enjeksiyonluk Çözelti 1 Flakon,https://cdn.farmazonrx.com.tr/Products/Images/14b18b9c-bee6-43f0-8e8a-f089b82efd7d.jpg,Monemfarma,8681793774129,Beyaz Reçete,"Gadobutrol - 604,72 mg/ml","2724,64 TL","3134,74 TL",-,"4353,80 TL"
Retrast 15 mmol/15 ml Enjeksiyonluk Çözelti 1 Flakon,https://cdn.farmazonrx.com.tr/Products/Images/f6189b4a-ead6-40f8-af7c-489aa85706af.jpg,Monemfarma,8681793774112,Beyaz Reçete,"Gadobutrol - 604,72 mg/ml","1341,56 TL","1571,85 TL",-,"2183,13 TL"
Aptamil AR 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/fc4d810e-9e9f-48bb-a222-3d91d083ebf1.jpg,Numil,8699745022129,Beyaz Reçete,"Vitamin C - 8,3 mg/100 ml","808,73 TL",Ödenmez,-,"991,50 TL"
Evolvia RP 1 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/d117d0fa-8fd9-4c26-a3bd-608abbd0239e.jpg,Montero,8680835000301,Beyaz Reçete,"Vitamin C - 9,5 mg/100 ml","786,46 TL","957,79 TL",-,"1076,17 TL"
Bebelac Gold Thickener 135 gr,https://cdn.farmazonrx.com.tr/Products/Images/881ab37a-dbb1-4c99-a3e0-5982efada86e.jpg,Numil,8699745010133,Beyaz Reçete,"Çinko - 0,09 mg/100 ml
Demir - 0,15 mg/100 ml
Karbonhidratlar - 1,1 g/100 ml","469,87 TL",Ödenmez,-,"593,41 TL"
Evolvia RP 2 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/75a0baf8-c6b1-4169-8748-d6d84c6c50f4.jpg,Montero,8680835000318,Beyaz Reçete,"Vitamin C - 9,8 mg/100 ml","890,63 TL","1075,49 TL",-,"1208,42 TL"
Aptamil Eoprotin 200 gr,https://cdn.farmazonrx.com.tr/Products/Images/36bed523-250c-489a-adae-511983b8bf13.jpg,Numil,4008976594604,Beyaz Reçete,Vitamin C - 12 mg/100 ml,"2176,65 TL",Ödenmez,-,"2537,25 TL"
Aptamil Prematil 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/ba9d6ede-1a77-4de7-a313-f927ed1b8cdd.jpg,Numil,8699745000295,Beyaz Reçete,Vitamin C - 17 mg/100 ml,"547,45 TL",Ödenmez,-,"684,96 TL"
Comida MSUD B 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/8b8fb38a-0efc-4c3b-894b-f27987723599.jpg,Mamma,8697869420036,Beyaz Reçete,,"3060,55 TL","3527,52 TL",-,"3963,50 TL"
SMA 1 gr 72 Saşe,,Nestle,8690632994338,Beyaz Reçete,Vitamin C - 500 mg/100 g,"998,28 TL",Ödenmez,-,"1205,70 TL"
"Genbutrol 7,5 mmol/7,5 ml Enjeksiyonluk Çözelti 7,5 ml 1 Flakon",https://cdn.farmazonrx.com.tr/Products/Images/1987eca5-08c5-4ee4-9a6d-3b78fb922d74.jpg,Gen İlaç,8699783770297,Beyaz Reçete,"Gadobutrol - 604,72 mg/ml","603,12 TL","737,42 TL",-,"1024,20 TL"
Fuarte Neo 90 mg 30 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/37dc8fac-961f-4d38-9c80-14f11f655b50.jpg,Abdi İbrahim,8699514095002,Kısıtlanmış Beyaz Reçete,Deferasiroks - 90 mg,"1081,37 TL","1277,84 TL",-,"1774,78 TL"
